scenario,policy,policy_label,total_demand,fulfilled_demand,total_lost_sales,fill_rate,stockout_day_rate,average_inventory,average_inventory_position,total_orders,holding_cost,ordering_cost,stockout_cost,total_cost,cost_per_demand_unit,relative_cost_savings_vs_fixed_pct
base_case,lightgbm_segment_aware_rop,Segment-Aware LightGBM ROP,97293.0,93394.0,3899.0,0.9599251744729836,0.016613825686932735,17.49351920925028,23.417008578888474,3706,37368.629,18530.0,11649.55,67548.179,0.6942758369050189,9.922040418321961
base_case,moving_average_28,Moving Average 28,97293.0,94826.0,2467.0,0.9746436023146577,0.012246674126569688,19.465000621658586,26.79701293049857,4696,39404.092000000004,23480.0,7944.63,70828.72200000001,0.7279940180691314,5.5473167154082645
base_case,lightgbm_global_rop,Global LightGBM ROP,97293.0,93807.0,3486.0,0.9641700841787179,0.0162408305358697,16.40782357329355,23.098004475941813,5576,33662.81340000001,27880.0,10386.03,71928.84340000001,0.7393013207527778,4.08026471680236
base_case,lightgbm_tuned_rop,LightGBM Tuned ROP,97293.0,93884.0,3409.0,0.9649615080221599,0.016178664677359195,16.40779249036429,23.11137013552157,5627,33662.7733,28135.0,10176.41,71974.1833,0.7397673347517294,4.019802307006878
base_case,xgboost_rop,XGBoost ROP,97293.0,93887.0,3406.0,0.9649923427173589,0.015541464627626508,16.54412221807783,23.286506900410295,5596,33972.6664,27980.0,10947.7,72900.3664,0.7492868592807294,2.784703373443728
base_case,fixed_rule,Fixed rule,97293.0,92967.0,4326.0,0.9555363695229873,0.020483650379211737,15.802234862613453,22.329665547681213,5635,32430.7858,28175.0,14382.789999999999,74988.5758,0.7707499594009847,0.0
base_case,seasonal_naive_28,Seasonal Naive 28 ROP,97293.0,92948.0,4345.0,0.95534108312006,0.020654606490115628,17.370834887479795,24.363359442993907,6694,35443.144499999995,33470.0,14189.61,83102.7545,0.85414936840266,-10.820553148843759
