scenario,forecast_model,policy,total_demand,fulfilled_demand,total_lost_sales,stockout_frequency,service_level_achieved,average_inventory,total_orders,holding_cost,ordering_cost,stockout_cost,total_cost,baseline_fixed_rule_cost,relative_cost_savings_pct
base_case,LightGBM,dynamic_lightgbm_rop,97293.0,94358.0,2935.0,0.011827054581623772,0.9698333898636079,16.513692030336937,8177,33980.467,40885.0,8489.2,83354.66700000002,94598.57580000002,11.88591763133077
base_case,LightGBM Tuned,dynamic_lightgbm_tuned_rop,97293.0,94241.0,3052.0,0.012821708317791869,0.9686308367508454,16.404559865721744,8253,33840.7882,41265.0,9390.8,84496.5882,94598.57580000002,10.678794595552484
base_case,Moving Average 28,moving_average_rop,97293.0,94304.0,2989.0,0.014857640184010942,0.9692783653500252,16.070558249409423,9612,32889.7562,48060.0,9383.88,90333.63620000001,94598.57580000002,4.508460686571998
base_case,Fixed Rule,fixed_reorder_rule,97293.0,92967.0,4326.0,0.020483650379211737,0.9555363695229873,15.802234862613453,9557,32430.7858,47785.0,14382.789999999999,94598.57580000002,94598.57580000002,0.0
base_case,Seasonal Naive 28,naive_forecast_rop,97293.0,94077.0,3216.0,0.014002859629491483,0.9669452067466313,18.069827800571925,9345,37265.041800000006,46725.0,10993.54,94983.58180000001,94598.57580000002,-0.4069892138904631
long_lead_time,LightGBM,dynamic_lightgbm_rop,97293.0,94123.0,3170.0,0.011625015541464627,0.9674180054063499,26.269240333209,11227,53826.6421,56135.0,19026.06,128987.7021,179641.4484,28.197137548797453
long_lead_time,LightGBM Tuned,dynamic_lightgbm_tuned_rop,97293.0,94080.0,3213.0,0.01174934725848564,0.9669760414418304,26.196941439761282,11347,53802.34070000001,56735.0,20143.44,130680.78069999999,179641.4484,27.25466095718699
long_lead_time,Seasonal Naive 28,naive_forecast_rop,97293.0,94147.0,3146.0,0.013023747357951013,0.9676646829679422,27.54903332090016,13302,56429.8714,66510.0,22053.48,144993.35139999999,179641.4484,19.287362303409267
long_lead_time,Moving Average 28,moving_average_rop,97293.0,93863.0,3430.0,0.015215093870446351,0.9647456651557667,25.801286833271167,17788,52689.0356,88940.0,23174.899999999998,164803.9356,179641.4484,8.25951523557188
long_lead_time,Fixed Rule,fixed_reorder_rule,97293.0,93057.0,4236.0,0.019116001491980603,0.9564614103789584,25.331110903891584,19861,51831.788400000005,99305.0,28504.660000000003,179641.4484,179641.4484,0.0
short_lead_time,Moving Average 28,moving_average_rop,97293.0,94373.0,2920.0,0.016271913465124955,0.969987563339603,10.897690538356334,6611,22375.6975,33055.0,4530.595,59961.2925,61002.218,1.7063732010531119
short_lead_time,Fixed Rule,fixed_reorder_rule,97293.0,93004.0,4289.0,0.022535123710058436,0.9559166640971087,10.778254382693024,6345,22189.728000000003,31725.0,7087.490000000001,61002.218,61002.218,0.0
short_lead_time,LightGBM,dynamic_lightgbm_rop,97293.0,94251.0,3042.0,0.014096108417257242,0.9687336190681756,11.153316548551535,7006,23020.735399999998,35030.0,4204.2,62254.9354,61002.218,-2.053560413163996
short_lead_time,LightGBM Tuned,dynamic_lightgbm_tuned_rop,97293.0,94179.0,3114.0,0.014515727962203158,0.9679935863833986,11.11281549173194,7060,23029.0719,35300.0,4465.594999999999,62794.66690000001,61002.218,-2.9383339799218615
short_lead_time,Seasonal Naive 28,naive_forecast_rop,97293.0,93860.0,3433.0,0.01655165982842223,0.9647148304605676,12.560269799825935,7589,25994.3685,37945.0,5788.485000000001,69727.8535,61002.218,-14.303800396241325
