scenario,model,total_demand,fulfilled_demand,total_lost_sales,total_stockout_days,mean_fill_rate,mean_average_inventory,total_orders,total_holding_cost,total_ordering_cost,total_stockout_cost,total_simulated_cost,mean_safety_stock,overall_fill_rate
base_case,LightGBM,100788.0,99245.0,1543.0,416,0.9897963907057918,11.968516072214884,6338,76105.40000000001,31690.0,3086.0,110881.40000000001,6.526590505973759,0.9846906377743382
long_lead_time,LightGBM,100788.0,99473.0,1315.0,217,0.9960964085636497,18.593209410580613,4547,118230.5,22735.0,2630.0,143595.5,10.998214788214938,0.9869528118426797
short_lead_time,LightGBM,100788.0,98701.0,2087.0,797,0.9757099286705967,8.81513807636661,7039,56053.700000000004,35195.0,4174.0,95422.7,3.328946387490937,0.9792931698218041
