forecast_model,MAE,RMSE,RMSSE,weighted_RMSSE_bottom,base_case,long_lead_time,short_lead_time
LightGBM Tuned,1.2015381375347376,2.310597098934607,0.7587943274353935,0.8459346094325235,84496.5882,130680.7807,62794.66690000001
LightGBM,1.210643429218852,2.315384283970643,0.7627821044281523,0.8459930462385916,83354.66700000002,128987.7021,62254.9354
XGBoost,1.218457818031311,2.319598463760712,0.7646717858656878,0.8465001887935195,,,
Random Forest,1.2295414294857945,2.351359840924376,0.7678845628198917,0.8558030173321556,,,
Moving Average 28,1.236941839398945,2.4842134726571765,0.7725690300174659,0.8941716754289295,90333.6362,164803.9356,59961.2925
CatBoost,1.2397181762161975,2.357176796595604,0.7886006799769774,0.8556616791467677,,,
Seasonal Naive 28,1.455302747730946,3.067544363530952,1.0256442843935398,1.1704032038327838,94983.5818,144993.3514,69727.8535
